,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
3656679,9500060385701825,1,0,0,1,100.0,0.0,15.0,True,1.0,0
21607201,9600151574931825,1,1,1,0,181.43,0.0,297.0,False,267.0,1
5388637,9500079301891825,1,0,1,1,170.49,43.0,77.0,False,47.0,0
14565290,9500197046631825,1,0,0,1,93.0,0.0,21.0,False,-9.0,0
16918655,9600034825561825,0,0,1,0,55.49,0.0,79.0,False,49.0,1
16256326,9600027316561825,1,0,1,0,62.95,15.0,344.0,True,330.0,1
4393616,9500069051171825,0,0,1,0,69.49,0.0,75.0,False,45.0,0
15672991,9500246026541825,1,0,0,1,103.0,23.0,3.0,False,-27.0,0
18552974,9600074129221825,0,1,1,0,0.0,0.0,51.0,True,22.0,1
8684420,9500115480681825,0,0,1,0,69.49,0.0,132.0,False,102.0,0
8939206,9500118509511825,1,1,1,1,195.43,0.0,289.0,True,261.0,0
8257111,9500110999891825,1,0,1,0,121.44,0.0,68.0,False,38.0,0
13194714,9500163181521825,1,0,1,1,175.49,0.0,73.0,False,43.0,0
9032013,9500119605601825,0,0,1,0,34.5,0.0,61.0,False,31.0,0
23104083,9600227644971825,1,1,1,1,158.99,84.0,11.0,False,-19.0,1
19276142,9600091792891825,1,1,1,0,149.93,0.0,255.0,True,253.0,1
7460800,9500102320291825,0,0,1,0,65.49,0.0,233.0,True,219.0,0
10069983,9500130384721825,1,1,1,1,206.49,58.0,231.0,False,201.0,0
21523388,9600150888471825,0,0,1,0,0.0,0.0,358.0,False,328.0,1
17103583,9600037481211825,1,1,0,1,114.94,10.0,174.0,False,144.0,1
23234702,9600253094981825,1,0,1,1,145.0,15.0,1.0,False,-29.0,1
11068365,9500140653831825,0,0,1,0,0.0,0.0,261.0,True,242.0,0
9374396,9500122934171825,1,0,0,1,103.0,10.0,68.0,False,38.0,0
427232,9500020554871825,1,0,1,1,175.49,65.0,83.0,False,53.0,0
17175112,9600044753691825,1,0,1,1,100.0,30.0,73.0,True,52.0,1
14126487,9500184660251825,1,0,0,0,0.0,35.0,1.0,True,-5.0,0
5347128,9500078899971825,1,0,1,0,122.45,12.0,169.0,False,139.0,0
21467300,9600150326881825,1,1,1,0,157.93,30.0,363.0,False,333.0,1
22855888,9600209792791825,1,0,1,1,113.0,58.0,0.0,True,-14.0,1
15779448,9600017583951825,0,1,1,0,52.989999999999995,0.0,133.0,True,128.0,1
17460137,9600052057811825,1,0,0,1,75.0,0.0,103.0,True,73.0,1
16781184,9600033548391825,1,1,1,1,179.48000000000002,30.0,356.0,False,326.0,1
